127.0.0.1 - - [24/Mar/2023:13:51:47 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:27:32 +0900] "GET /JSPStudy/ch04/JSPStudy/List.jsp HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:27:34 +0900] "GET /JSPStudy/ch04/JSPStudy/List.jsp HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:27:39 +0900] "GET /JSPStudy/ch04/form_input.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:27:40 +0900] "GET /JSPStudy/ch04/JSPStudy/List.jsp HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:28:33 +0900] "GET /JSPStudy/ch04/form_input.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:28:34 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:29:17 +0900] "GET /JSPStudy/ch04/form_login.jsp?id=dhc518&passwd=doo481225 HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:29:18 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:29:20 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:29:21 +0900] "GET /JSPStudy/ch04/form_input.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:29:49 +0900] "GET /JSPStudy/hyperlink_text.jsp HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:29:50 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:30:40 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:30:42 +0900] "GET /JSPStudy/ch04/form_input.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:14 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:16 +0900] "GET /JSPStudy/ch04/form_input.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:21 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:21 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:23 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:24 +0900] "GET /JSPStudy/hyperlink_text.jsp HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:31:27 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:34:29 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:34:30 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:34:55 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:34:56 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:34:59 +0900] "GET /JSPStudy/hyperlink_text.jsp HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:35:01 +0900] "GET /JSPStudy/hyperlink_image.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:35:03 +0900] "GET /JSPStudy/table_default.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:35:04 +0900] "GET /JSPStudy/table_option.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:41:16 +0900] "GET /JSPStudy/ch04/form_element.jsp HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:41:35 +0900] "GET /JSPStudy/ch04/form_element.jsp HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:41:38 +0900] "GET /JSPStudy/ch04/form_element.jsp?id=fdbfdb&dept=on HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:42:03 +0900] "GET /JSPStudy/ch04/form_element.jsp?id=fdbfdb&dept=on HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:42:08 +0900] "GET /JSPStudy/ch04/form_element.jsp?id=11111&dept2=on HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:43:48 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:44:30 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:44:31 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:44:54 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:44:57 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:44:59 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:45:22 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:45:24 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:45:25 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:45:32 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:46:57 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:46:59 +0900] "GET /JSPStudy/hyperlink_text.jsp HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:47:01 +0900] "GET /JSPStudy/hyperlink_image.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:47:03 +0900] "GET /JSPStudy/table_default.jsp HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:47:08 +0900] "GET /JSPStudy/table_option.jsp HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:47:23 +0900] "GET /JSPStudy/table_default.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:52:28 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:52:36 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:53:18 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:53:20 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:53:35 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:53:53 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:53:56 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:53:57 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:54:02 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:54:21 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:59:45 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [24/Mar/2023:14:59:47 +0900] "GET /JSPStudy/insert_image.jsp HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:00:05 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:00:20 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:00:35 +0900] "GET /JSPStudy/ch04/form_select.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:06:08 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:07:18 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:07:38 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:07:43 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:07:44 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:07:47 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:07:55 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:08:49 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:08:50 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:08:51 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:09:09 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:09:17 +0900] "GET /JSPStudy/welcome.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:09:26 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:09:28 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:11:05 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:11:10 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:11:11 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:12:22 +0900] "GET /JSPStudy/ch04/form_optgroup.jsp HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:12:24 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:12:26 +0900] "GET /JSPStudy/ch04/form_login.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:12:29 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:17:22 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:17:26 +0900] "GET /JSPStudy/ch04/form_textarea.jsp? HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:18:10 +0900] "GET /JSPStudy/ch04/form_textarea.jsp? HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:18:12 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:18:40 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:18:41 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:19:57 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:19:58 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:20:47 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:20:48 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:20:48 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:20:48 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:21:14 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:21:22 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:22:41 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:22:44 +0900] "GET /JSPStudy/ch04/form_login.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:22:50 +0900] "GET /JSPStudy/ch04/form_input.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:22:55 +0900] "GET /JSPStudy/ch04/form_input.jsp?p_name=gkgj&e_name=ghjghj&gender=on&hobby1=on HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:22:56 +0900] "GET /JSPStudy/ch04/form_input.jsp?p_name=&e_name= HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:23:01 +0900] "GET /JSPStudy/ch04/form_input.jsp?p_name=ghjgh&e_name=jghjgjh&gender=on&hobby1=on HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:23:11 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:23:19 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:24:06 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:24:12 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:29:33 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:34:33 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:34:35 +0900] "GET /JSPStudy/ch04/form_textarea.jsp? HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:34:44 +0900] "GET /JSPStudy/ch04/form_textarea.jsp? HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:35:32 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:35:57 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [24/Mar/2023:15:35:58 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:05:04 +0900] "GET /JSPStudy/ch04/form_membership01.jsp HTTP/1.1" 200 1796
